city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Rawalpindi,Android,Easypaisa,Auto,Half Yearly,9,8
Rawalpindi,Android,Easypaisa,Auto,Monthly,440,179
Rawalpindi,Android,Easypaisa,Auto,Quarterly,14,8
Rawalpindi,Android,Easypaisa,Auto,Weekly,1521,963
Rawalpindi,Android,JazzCash,Manual,Monthly,58,5
Rawalpindi,Android,JazzCash,Manual,Weekly,21,3
Rawalpindi,Android,JazzCash Checkout,Auto,Half Yearly,1,1
Rawalpindi,Android,JazzCash Checkout,Auto,Monthly,123,73
Rawalpindi,Android,JazzCash Checkout,Auto,Quarterly,8,4
Rawalpindi,Android,JazzCash Checkout,Auto,Weekly,1234,853
Rawalpindi,Android,Ufone,Auto,Monthly,75,67
Rawalpindi,Android,Ufone,Auto,Weekly,433,356
Rawalpindi,Android,Zindigi,Manual,Monthly,5,0
Rawalpindi,Android,Zindigi,Manual,Weekly,16,2
Rawalpindi,Android,Zong,Auto,Half Yearly,1,0
Rawalpindi,Android,Zong,Auto,Quarterly,1,0
Rawalpindi,Android,Zong,Auto,Weekly,117,83
Rawalpindi,Unknown,Bill Payment,Manual,Monthly,4,1
Rawalpindi,Unknown,Bill Payment,Manual,Weekly,5,2
Rawalpindi,Unknown,Credit/Debit Card,Manual,Monthly,3,1
Rawalpindi,Unknown,Credit/Debit Card,Manual,Quarterly,1,0
Rawalpindi,Unknown,Credit/Debit Card,Manual,Weekly,7,1
Rawalpindi,Unknown,Easypaisa,Auto,Monthly,14,5
Rawalpindi,Unknown,Easypaisa,Auto,Weekly,68,47
Rawalpindi,Unknown,JazzCash,Manual,Monthly,1,0
Rawalpindi,Unknown,JazzCash Checkout,Auto,Weekly,38,31
Rawalpindi,Unknown,Zong,Auto,Weekly,1,1
Rawalpindi,iOS,Bill Payment,Manual,Monthly,20,5
Rawalpindi,iOS,Bill Payment,Manual,Quarterly,1,0
Rawalpindi,iOS,Bill Payment,Manual,Weekly,36,6
Rawalpindi,iOS,Credit/Debit Card,Manual,Half Yearly,1,0
Rawalpindi,iOS,Credit/Debit Card,Manual,Monthly,82,9
Rawalpindi,iOS,Credit/Debit Card,Manual,Quarterly,1,0
Rawalpindi,iOS,Credit/Debit Card,Manual,Weekly,75,22
Rawalpindi,iOS,Easypaisa,Auto,Half Yearly,3,2
Rawalpindi,iOS,Easypaisa,Auto,Monthly,165,72
Rawalpindi,iOS,Easypaisa,Auto,Quarterly,11,7
Rawalpindi,iOS,Easypaisa,Auto,Weekly,484,311
Rawalpindi,iOS,JazzCash,Manual,Monthly,19,1
Rawalpindi,iOS,JazzCash,Manual,Weekly,7,0
Rawalpindi,iOS,JazzCash Checkout,Auto,Monthly,59,39
Rawalpindi,iOS,JazzCash Checkout,Auto,Quarterly,7,2
Rawalpindi,iOS,JazzCash Checkout,Auto,Weekly,284,197
Rawalpindi,iOS,Ufone,Auto,Monthly,6,6
Rawalpindi,iOS,Ufone,Auto,Weekly,107,66
Rawalpindi,iOS,Zindigi,Manual,Monthly,1,0
Rawalpindi,iOS,Zindigi,Manual,Weekly,3,0
Rawalpindi,iOS,Zong,Auto,Weekly,57,33
